TIME,GOAL/AIM,TASK,EFFICIENCY
4:45 AM - 5:45 AM,CT6,Leetcode @ I,8
30 min,Cycling,9.21 km (121 bpm),-
52 min,Walking,4.30 km (109 bpm),-
8:30 AM - 10:15 AM,CT10,Amatron : BE @ L,8.5
10:15 AM - 11:30 AM,Code,Docker @ I (Learn),
11:00 AM,BF,Breakfast,-
11:30 AM - 11:45 AM,Workout A,1 set (101 bpm),-
12:15 PM - 2:00 PM,CT3,100D : BS @ I (Write),8
2:15 PM,Lunch,Lunch,-
2:45 PM - 3:30 PM,CT4,Leetcode @ I,7.5
4:15 PM - 4:45 PM,CT6,Amatron : ML @ L,7
5:00 PM - 6:00 PM,CT7,Amatron : ML @ L,7
6:15 PM - 6:30 PM,CT7,100D : BS @ I (Write),7
6:30 PM - 7:30 PM,Code,GraphQL @ I (Play),7.5